record_id,farm_id,animal_id,drug_name,drug_class,dose_mg,treatment_days,days_after_treatment,residue_mg_per_kg,mrl_limit_mg_per_kg,violation_flag,test_date
40,4,158,Enrofloxacin,Fluoroquinolone,358,2,10,0.028,0.002,1,2025-05-12
41,1,30,Oxytetracycline,Tetracycline,718,2,10,0.089,0.01,1,2025-12-04
42,23,915,Enrofloxacin,Fluoroquinolone,279,3,4,0.0687,0.002,1,2025-09-28
43,45,1766,Oxytetracycline,Tetracycline,451,1,3,0.1647,0.01,1,2025-03-20
44,43,1716,Gentamicin,Aminoglycoside,522,7,7,0.055,0.01,1,2025-08-14
45,38,1487,Penicillin,Beta-lactam,315,5,6,0.0291,0.005,1,2025-05-16
46,39,1548,Oxytetracycline,Tetracycline,153,2,8,0.0172,0.01,1,2025-06-04
47,25,976,Sulfonamide,Sulfonamide,339,4,7,0.0472,0.1,0,2025-03-16
48,28,1087,Gentamicin,Aminoglycoside,112,3,8,0.0123,0.01,1,2025-06-11
49,50,1970,Sulfonamide,Sulfonamide,799,1,2,0.5664,0.1,1,2025-11-23
50,19,725,Gentamicin,Aminoglycoside,725,6,5,0.1211,0.01,1,2025-05-17
51,42,1644,Oxytetracycline,Tetracycline,361,6,10,0.0322,0.01,1,2025-12-12
52,39,1535,Penicillin,Beta-lactam,788,5,4,0.2009,0.005,1,2025-12-13
53,36,1414,Penicillin,Beta-lactam,420,5,1,0.4926,0.005,1,2025-02-04
54,1,25,Gentamicin,Aminoglycoside,200,5,2,0.1185,0.01,1,2025-06-29
55,12,450,Enrofloxacin,Fluoroquinolone,357,2,1,0.187,0.002,1,2025-02-17
56,3,117,Sulfonamide,Sulfonamide,772,7,4,0.2799,0.1,1,2025-11-23
57,7,250,Oxytetracycline,Tetracycline,188,7,10,0.0118,0.01,1,2025-12-03
58,40,1565,Sulfonamide,Sulfonamide,289,1,3,0.0726,0.1,0,2025-08-28
59,34,1353,Oxytetracycline,Tetracycline,754,4,5,0.1914,0.01,1,2025-12-21
60,47,1851,Enrofloxacin,Fluoroquinolone,363,2,2,0.1411,0.002,1,2025-02-01
61,20,784,Gentamicin,Aminoglycoside,440,1,5,0.1281,0.01,1,2025-05-16
62,10,365,Gentamicin,Aminoglycoside,171,4,4,0.0475,0.01,1,2025-04-02
63,34,1322,Gentamicin,Aminoglycoside,211,2,9,0.0297,0.01,1,2025-04-22
64,32,1258,Oxytetracycline,Tetracycline,552,6,5,0.0666,0.01,1,2025-02-07
65,4,145,Sulfonamide,Sulfonamide,356,7,8,0.0231,0.1,0,2025-09-12
66,8,305,Oxytetracycline,Tetracycline,138,6,7,0.0151,0.01,1,2025-12-25
67,17,676,Gentamicin,Aminoglycoside,688,1,9,0.0923,0.01,1,2025-09-09
68,25,980,Gentamicin,Aminoglycoside,513,7,2,0.2668,0.01,1,2025-01-02
69,20,788,Gentamicin,Aminoglycoside,224,5,9,0.0357,0.01,1,2025-07-03
70,18,683,Enrofloxacin,Fluoroquinolone,510,1,2,0.2207,0.002,1,2025-06-24
71,5,165,Gentamicin,Aminoglycoside,396,6,4,0.067,0.01,1,2025-01-21
72,50,1982,Gentamicin,Aminoglycoside,776,2,5,0.1856,0.01,1,2025-02-24
73,33,1292,Enrofloxacin,Fluoroquinolone,598,1,8,0.0923,0.002,1,2025-03-13
74,2,74,Penicillin,Beta-lactam,125,6,10,0.0092,0.005,1,2025-07-19
75,4,130,Sulfonamide,Sulfonamide,758,3,8,0.098,0.1,0,2025-08-19
76,50,1980,Oxytetracycline,Tetracycline,137,3,1,0.1148,0.01,1,2025-01-22
77,21,831,Oxytetracycline,Tetracycline,316,7,9,0.0336,0.01,1,2025-12-14
78,45,1783,Sulfonamide,Sulfonamide,252,6,10,0.0185,0.1,0,2025-02-06
79,2,76,Penicillin,Beta-lactam,600,6,1,0.5827,0.005,1,2025-11-13
80,3,94,Penicillin,Beta-lactam,764,2,1,0.5136,0.005,1,2025-01-26
81,47,1853,Enrofloxacin,Fluoroquinolone,199,4,10,0.0133,0.002,1,2025-10-30
82,4,131,Oxytetracycline,Tetracycline,216,4,10,0.0281,0.01,1,2025-04-23
83,4,130,Penicillin,Beta-lactam,536,3,7,0.0631,0.005,1,2025-12-17
84,30,1180,Sulfonamide,Sulfonamide,240,3,4,0.0759,0.1,0,2025-10-31
85,9,356,Enrofloxacin,Fluoroquinolone,164,1,5,0.021,0.002,1,2025-08-01
86,9,345,Enrofloxacin,Fluoroquinolone,666,2,8,0.0619,0.002,1,2025-10-25
87,3,84,Penicillin,Beta-lactam,202,7,10,0.0177,0.005,1,2025-03-22
88,1,33,Gentamicin,Aminoglycoside,182,1,1,0.1237,0.01,1,2025-02-15
89,37,1448,Sulfonamide,Sulfonamide,390,4,8,0.0581,0.1,0,2025-04-16
90,8,294,Enrofloxacin,Fluoroquinolone,635,4,7,0.0671,0.002,1,2025-03-31
91,32,1251,Oxytetracycline,Tetracycline,710,2,8,0.0987,0.01,1,2025-02-15
92,33,1285,Enrofloxacin,Fluoroquinolone,456,4,1,0.4823,0.002,1,2025-04-09
93,7,241,Sulfonamide,Sulfonamide,197,5,6,0.0447,0.1,0,2025-10-04
94,26,1040,Penicillin,Beta-lactam,575,7,4,0.1116,0.005,1,2025-04-10
95,6,231,Penicillin,Beta-lactam,585,4,3,0.1287,0.005,1,2025-01-23
96,3,111,Enrofloxacin,Fluoroquinolone,391,2,7,0.042,0.002,1,2025-11-12
97,42,1649,Gentamicin,Aminoglycoside,144,1,1,0.2052,0.01,1,2025-04-01
98,9,324,Oxytetracycline,Tetracycline,596,5,2,0.1701,0.01,1,2025-05-01
99,37,1478,Gentamicin,Aminoglycoside,706,5,6,0.1081,0.01,1,2025-12-13
100,46,1840,Enrofloxacin,Fluoroquinolone,335,7,2,0.1384,0.002,1,2025-02-20
101,13,486,Gentamicin,Aminoglycoside,304,4,4,0.0436,0.01,1,2025-10-27
102,25,993,Oxytetracycline,Tetracycline,546,2,4,0.1949,0.01,1,2025-08-21
103,10,365,Gentamicin,Aminoglycoside,482,2,8,0.0735,0.01,1,2025-11-20
104,19,735,Enrofloxacin,Fluoroquinolone,307,3,3,0.0545,0.002,1,2025-10-19
105,4,123,Enrofloxacin,Fluoroquinolone,239,1,8,0.0286,0.002,1,2025-03-29
106,39,1558,Enrofloxacin,Fluoroquinolone,325,3,10,0.0213,0.002,1,2025-11-23
107,49,1952,Sulfonamide,Sulfonamide,274,5,9,0.0413,0.1,0,2025-02-14
108,22,844,Sulfonamide,Sulfonamide,600,7,4,0.1637,0.1,1,2025-08-25
109,15,572,Oxytetracycline,Tetracycline,538,6,4,0.1006,0.01,1,2025-08-11
110,30,1187,Penicillin,Beta-lactam,705,2,10,0.0986,0.005,1,2025-08-02
111,3,91,Oxytetracycline,Tetracycline,581,6,9,0.0344,0.01,1,2025-09-29
112,21,808,Gentamicin,Aminoglycoside,200,4,8,0.0185,0.01,1,2025-10-13
113,39,1543,Oxytetracycline,Tetracycline,516,2,3,0.1476,0.01,1,2025-05-03
114,34,1327,Oxytetracycline,Tetracycline,116,4,5,0.0154,0.01,1,2025-08-24
115,44,1758,Sulfonamide,Sulfonamide,697,1,8,0.084,0.1,0,2025-03-12
116,45,1791,Gentamicin,Aminoglycoside,289,7,6,0.0543,0.01,1,2025-12-27
117,33,1298,Oxytetracycline,Tetracycline,742,1,7,0.1477,0.01,1,2025-06-20
118,28,1088,Oxytetracycline,Tetracycline,403,4,5,0.0966,0.01,1,2025-11-10
119,28,1111,Sulfonamide,Sulfonamide,312,7,2,0.1748,0.1,1,2025-06-21
120,38,1507,Oxytetracycline,Tetracycline,627,6,6,0.145,0.01,1,2025-02-26
121,20,785,Enrofloxacin,Fluoroquinolone,576,5,1,0.4986,0.002,1,2025-03-31
122,34,1328,Sulfonamide,Sulfonamide,168,5,4,0.0268,0.1,0,2025-06-21
123,13,489,Sulfonamide,Sulfonamide,216,6,8,0.0334,0.1,0,2025-10-25
124,45,1785,Penicillin,Beta-lactam,330,3,6,0.0769,0.005,1,2025-09-15
125,35,1394,Gentamicin,Aminoglycoside,383,1,2,0.1671,0.01,1,2025-08-20
126,25,996,Sulfonamide,Sulfonamide,639,7,2,0.31,0.1,1,2025-09-30
127,35,1390,Sulfonamide,Sulfonamide,399,4,10,0.0346,0.1,0,2025-12-11
128,49,1937,Oxytetracycline,Tetracycline,292,4,2,0.0847,0.01,1,2025-04-02
129,15,591,Oxytetracycline,Tetracycline,211,2,5,0.0258,0.01,1,2025-03-17
130,26,1017,Penicillin,Beta-lactam,309,5,1,0.2451,0.005,1,2025-12-16
131,28,1109,Penicillin,Beta-lactam,585,3,7,0.0789,0.005,1,2025-11-27
132,2,44,Enrofloxacin,Fluoroquinolone,293,1,1,0.4019,0.002,1,2025-04-29
133,43,1710,Sulfonamide,Sulfonamide,760,3,7,0.1171,0.1,1,2025-12-02
134,34,1324,Enrofloxacin,Fluoroquinolone,597,5,9,0.089,0.002,1,2025-08-16
135,24,938,Enrofloxacin,Fluoroquinolone,680,2,5,0.0914,0.002,1,2025-05-14
136,12,465,Gentamicin,Aminoglycoside,480,3,1,0.3112,0.01,1,2025-05-26
137,24,934,Penicillin,Beta-lactam,733,2,9,0.064,0.005,1,2025-03-31
138,43,1719,Penicillin,Beta-lactam,265,2,2,0.0717,0.005,1,2025-06-12
139,30,1177,Penicillin,Beta-lactam,551,3,6,0.0629,0.005,1,2025-10-15
140,37,1449,Oxytetracycline,Tetracycline,781,3,6,0.0843,0.01,1,2025-08-18
141,28,1106,Penicillin,Beta-lactam,646,3,2,0.4588,0.005,1,2025-07-27
142,48,1907,Gentamicin,Aminoglycoside,248,4,6,0.0271,0.01,1,2025-10-07
143,50,1999,Sulfonamide,Sulfonamide,439,6,5,0.0855,0.1,0,2025-05-29
144,50,1986,Sulfonamide,Sulfonamide,782,2,10,0.0961,0.1,0,2025-08-15
145,18,694,Oxytetracycline,Tetracycline,590,1,3,0.2317,0.01,1,2025-03-01
146,16,631,Oxytetracycline,Tetracycline,511,5,4,0.1208,0.01,1,2025-02-17
147,17,669,Oxytetracycline,Tetracycline,722,6,4,0.1956,0.01,1,2025-04-24
148,41,1601,Enrofloxacin,Fluoroquinolone,300,1,2,0.1558,0.002,1,2025-08-17
149,35,1387,Oxytetracycline,Tetracycline,624,4,4,0.1545,0.01,1,2025-11-05
150,31,1240,Sulfonamide,Sulfonamide,157,6,6,0.0235,0.1,0,2025-08-07
151,19,758,Gentamicin,Aminoglycoside,481,1,5,0.0813,0.01,1,2025-06-07
152,23,913,Sulfonamide,Sulfonamide,189,2,8,0.0293,0.1,0,2025-08-01
153,42,1646,Gentamicin,Aminoglycoside,395,2,7,0.0693,0.01,1,2025-08-01
154,8,286,Sulfonamide,Sulfonamide,712,1,3,0.168,0.1,1,2025-09-01
155,45,1777,Sulfonamide,Sulfonamide,443,1,10,0.0556,0.1,0,2025-02-15
156,1,14,Gentamicin,Aminoglycoside,754,3,7,0.0727,0.01,1,2025-08-25
157,37,1455,Sulfonamide,Sulfonamide,240,2,3,0.1066,0.1,1,2025-05-29
158,29,1135,Gentamicin,Aminoglycoside,143,7,5,0.0382,0.01,1,2025-06-05
159,26,1012,Sulfonamide,Sulfonamide,574,2,1,0.7412,0.1,1,2025-03-20
160,14,538,Enrofloxacin,Fluoroquinolone,755,7,8,0.0589,0.002,1,2025-12-07
161,46,1829,Enrofloxacin,Fluoroquinolone,527,2,8,0.0927,0.002,1,2025-11-27
162,13,502,Oxytetracycline,Tetracycline,222,7,5,0.0441,0.01,1,2025-02-04
163,31,1227,Enrofloxacin,Fluoroquinolone,695,4,10,0.0651,0.002,1,2025-05-13
164,33,1287,Gentamicin,Aminoglycoside,222,3,9,0.0304,0.01,1,2025-01-09
165,44,1732,Enrofloxacin,Fluoroquinolone,266,5,1,0.1719,0.002,1,2025-08-25
166,45,1799,Penicillin,Beta-lactam,465,2,1,0.3593,0.005,1,2025-08-03
167,33,1304,Enrofloxacin,Fluoroquinolone,149,3,5,0.0307,0.002,1,2025-02-09
168,27,1053,Penicillin,Beta-lactam,743,2,2,0.4082,0.005,1,2025-03-27
169,28,1114,Enrofloxacin,Fluoroquinolone,423,7,5,0.0653,0.002,1,2025-12-24
170,36,1410,Enrofloxacin,Fluoroquinolone,198,5,10,0.0169,0.002,1,2025-03-15
171,1,27,Penicillin,Beta-lactam,630,3,6,0.1343,0.005,1,2025-07-30
172,18,697,Penicillin,Beta-lactam,204,2,3,0.0682,0.005,1,2025-04-07
173,41,1629,Sulfonamide,Sulfonamide,728,6,9,0.1089,0.1,1,2025-12-31
174,29,1129,Oxytetracycline,Tetracycline,527,4,2,0.1625,0.01,1,2025-03-09
175,48,1892,Oxytetracycline,Tetracycline,591,3,5,0.1408,0.01,1,2025-03-13
176,42,1674,Gentamicin,Aminoglycoside,711,5,6,0.0797,0.01,1,2025-06-05
177,2,59,Oxytetracycline,Tetracycline,327,2,3,0.1295,0.01,1,2025-06-07
178,7,257,Penicillin,Beta-lactam,233,1,7,0.0396,0.005,1,2025-02-27
179,4,160,Oxytetracycline,Tetracycline,595,7,7,0.0461,0.01,1,2025-02-25
180,2,68,Sulfonamide,Sulfonamide,707,1,8,0.0547,0.1,0,2025-05-10
181,3,89,Oxytetracycline,Tetracycline,408,6,1,0.5119,0.01,1,2025-03-05
182,48,1885,Sulfonamide,Sulfonamide,310,5,4,0.0531,0.1,0,2025-06-29
183,2,60,Oxytetracycline,Tetracycline,249,7,5,0.0721,0.01,1,2025-06-28
184,19,722,Penicillin,Beta-lactam,612,7,10,0.0454,0.005,1,2025-10-19
185,4,140,Oxytetracycline,Tetracycline,692,7,1,0.712,0.01,1,2025-04-09
186,50,1975,Enrofloxacin,Fluoroquinolone,275,7,9,0.0154,0.002,1,2025-02-20
187,48,1893,Penicillin,Beta-lactam,616,7,8,0.0667,0.005,1,2025-10-29
188,10,380,Gentamicin,Aminoglycoside,789,1,3,0.351,0.01,1,2025-07-14
189,22,869,Penicillin,Beta-lactam,626,2,7,0.0548,0.005,1,2025-06-10
190,7,254,Gentamicin,Aminoglycoside,212,5,3,0.0704,0.01,1,2025-07-04
191,37,1444,Enrofloxacin,Fluoroquinolone,670,6,1,0.3901,0.002,1,2025-09-10
192,6,237,Gentamicin,Aminoglycoside,390,4,10,0.0482,0.01,1,2025-12-18
193,50,2000,Gentamicin,Aminoglycoside,331,5,7,0.0374,0.01,1,2025-08-08
194,10,387,Oxytetracycline,Tetracycline,587,6,6,0.0665,0.01,1,2025-12-12
195,26,1007,Oxytetracycline,Tetracycline,505,4,9,0.065,0.01,1,2025-02-13
196,7,245,Penicillin,Beta-lactam,504,4,10,0.0745,0.005,1,2025-03-28
197,4,133,Enrofloxacin,Fluoroquinolone,303,3,4,0.0829,0.002,1,2025-07-26
198,7,252,Penicillin,Beta-lactam,534,6,8,0.052,0.005,1,2026-01-01
199,40,1569,Sulfonamide,Sulfonamide,707,3,7,0.0865,0.1,0,2025-12-08
200,31,1236,Gentamicin,Aminoglycoside,596,5,5,0.0772,0.01,1,2025-08-21
201,6,222,Oxytetracycline,Tetracycline,356,4,8,0.0325,0.01,1,2025-03-10
202,2,61,Oxytetracycline,Tetracycline,154,7,2,0.0769,0.01,1,2025-01-14
203,50,1991,Penicillin,Beta-lactam,491,5,6,0.0534,0.005,1,2025-11-15
204,32,1277,Oxytetracycline,Tetracycline,178,6,9,0.0251,0.01,1,2025-08-27
205,11,414,Enrofloxacin,Fluoroquinolone,777,4,8,0.0976,0.002,1,2025-10-05
206,18,704,Sulfonamide,Sulfonamide,659,1,1,0.9824,0.1,1,2025-03-02
207,20,786,Gentamicin,Aminoglycoside,422,7,7,0.0568,0.01,1,2025-01-19
208,2,68,Penicillin,Beta-lactam,670,6,5,0.1855,0.005,1,2025-03-26
209,26,1007,Gentamicin,Aminoglycoside,237,3,7,0.0334,0.01,1,2025-02-26
210,30,1166,Gentamicin,Aminoglycoside,775,5,9,0.0923,0.01,1,2025-09-01
211,29,1152,Penicillin,Beta-lactam,618,1,7,0.0674,0.005,1,2025-10-30
212,50,1989,Gentamicin,Aminoglycoside,731,6,6,0.1543,0.01,1,2025-05-26
213,17,657,Oxytetracycline,Tetracycline,128,5,1,0.0804,0.01,1,2025-07-07
214,18,715,Sulfonamide,Sulfonamide,127,7,6,0.0186,0.1,0,2025-08-08
215,18,707,Enrofloxacin,Fluoroquinolone,521,3,1,0.605,0.002,1,2025-05-07
216,13,481,Enrofloxacin,Fluoroquinolone,706,1,2,0.4832,0.002,1,2025-02-28
217,18,692,Penicillin,Beta-lactam,120,5,6,0.0107,0.005,1,2025-12-03
218,45,1769,Gentamicin,Aminoglycoside,681,5,7,0.0746,0.01,1,2025-12-23
219,25,962,Sulfonamide,Sulfonamide,122,3,7,0.0187,0.1,0,2025-06-15
220,30,1173,Oxytetracycline,Tetracycline,600,1,4,0.1254,0.01,1,2025-09-15
221,42,1662,Enrofloxacin,Fluoroquinolone,270,5,5,0.0466,0.002,1,2025-08-12
222,11,414,Gentamicin,Aminoglycoside,750,7,2,0.5026,0.01,1,2025-10-02
223,11,439,Enrofloxacin,Fluoroquinolone,371,1,5,0.111,0.002,1,2025-07-25
224,42,1648,Penicillin,Beta-lactam,739,6,2,0.4499,0.005,1,2025-10-24
225,5,195,Sulfonamide,Sulfonamide,444,3,2,0.2367,0.1,1,2025-09-29
226,25,974,Gentamicin,Aminoglycoside,314,3,2,0.1808,0.01,1,2025-06-04
227,26,1034,Enrofloxacin,Fluoroquinolone,543,6,9,0.0491,0.002,1,2025-08-01
228,21,824,Enrofloxacin,Fluoroquinolone,739,5,8,0.1082,0.002,1,2025-10-08
229,10,370,Oxytetracycline,Tetracycline,742,6,9,0.1123,0.01,1,2025-10-23
230,26,1023,Penicillin,Beta-lactam,776,7,8,0.0745,0.005,1,2025-11-23
231,28,1092,Sulfonamide,Sulfonamide,544,5,1,0.5561,0.1,1,2025-07-06
232,24,948,Penicillin,Beta-lactam,346,2,5,0.093,0.005,1,2025-07-30
233,17,653,Oxytetracycline,Tetracycline,749,2,7,0.0821,0.01,1,2025-05-27
234,34,1324,Penicillin,Beta-lactam,362,6,10,0.0266,0.005,1,2025-05-03
235,6,233,Penicillin,Beta-lactam,296,1,4,0.096,0.005,1,2025-06-08
236,24,951,Gentamicin,Aminoglycoside,673,4,7,0.1103,0.01,1,2025-01-19
237,11,414,Penicillin,Beta-lactam,379,2,1,0.2874,0.005,1,2025-05-23
238,34,1349,Sulfonamide,Sulfonamide,280,6,1,0.4099,0.1,1,2025-09-06
239,41,1603,Oxytetracycline,Tetracycline,156,7,2,0.0635,0.01,1,2025-06-02
240,45,1776,Oxytetracycline,Tetracycline,516,3,2,0.2314,0.01,1,2025-03-13
241,13,484,Oxytetracycline,Tetracycline,684,6,9,0.1089,0.01,1,2025-09-25
242,35,1361,Sulfonamide,Sulfonamide,637,3,8,0.1102,0.1,1,2025-05-02
243,31,1229,Oxytetracycline,Tetracycline,420,3,10,0.052,0.01,1,2025-05-01
244,48,1916,Gentamicin,Aminoglycoside,323,2,2,0.109,0.01,1,2025-05-21
245,23,901,Gentamicin,Aminoglycoside,360,7,10,0.02,0.01,1,2025-10-01
246,20,768,Oxytetracycline,Tetracycline,424,5,7,0.059,0.01,1,2025-05-07
247,50,1973,Enrofloxacin,Fluoroquinolone,248,3,8,0.0377,0.002,1,2025-06-07
248,2,44,Sulfonamide,Sulfonamide,135,7,1,0.1607,0.1,1,2025-12-10
249,13,491,Enrofloxacin,Fluoroquinolone,665,4,5,0.1515,0.002,1,2025-12-25
250,19,744,Oxytetracycline,Tetracycline,647,7,4,0.2196,0.01,1,2025-07-18
251,1,17,Gentamicin,Aminoglycoside,361,3,2,0.2593,0.01,1,2025-05-01
252,16,610,Penicillin,Beta-lactam,264,4,6,0.0607,0.005,1,2025-11-26
253,21,833,Oxytetracycline,Tetracycline,380,7,2,0.2514,0.01,1,2025-09-09
254,25,965,Gentamicin,Aminoglycoside,440,6,7,0.0865,0.01,1,2025-02-21
255,43,1689,Penicillin,Beta-lactam,367,5,2,0.1563,0.005,1,2025-11-05
256,38,1494,Sulfonamide,Sulfonamide,434,4,1,0.5477,0.1,1,2025-11-25
257,33,1314,Penicillin,Beta-lactam,745,4,3,0.1249,0.005,1,2025-04-13
258,33,1287,Enrofloxacin,Fluoroquinolone,421,5,2,0.1286,0.002,1,2025-05-08
259,27,1058,Penicillin,Beta-lactam,708,6,7,0.1307,0.005,1,2025-06-13
260,24,925,Gentamicin,Aminoglycoside,236,3,3,0.0934,0.01,1,2025-06-17
261,41,1638,Enrofloxacin,Fluoroquinolone,303,1,7,0.0376,0.002,1,2025-07-21
262,45,1795,Gentamicin,Aminoglycoside,684,2,1,0.9905,0.01,1,2025-10-13
263,34,1326,Sulfonamide,Sulfonamide,741,2,2,0.5462,0.1,1,2025-04-12
264,14,537,Penicillin,Beta-lactam,150,4,10,0.0139,0.005,1,2025-05-14
265,8,306,Oxytetracycline,Tetracycline,476,2,10,0.0294,0.01,1,2025-09-27
266,23,892,Gentamicin,Aminoglycoside,789,4,2,0.2858,0.01,1,2025-04-15
267,10,391,Enrofloxacin,Fluoroquinolone,394,6,8,0.0434,0.002,1,2025-08-09
268,44,1754,Penicillin,Beta-lactam,714,2,5,0.1752,0.005,1,2025-04-07
269,22,857,Penicillin,Beta-lactam,518,7,3,0.0913,0.005,1,2025-05-15
270,13,483,Sulfonamide,Sulfonamide,561,2,6,0.1013,0.1,1,2025-11-28
271,24,939,Oxytetracycline,Tetracycline,110,4,3,0.0503,0.01,1,2025-12-21
272,21,815,Penicillin,Beta-lactam,492,6,7,0.0869,0.005,1,2025-05-12
273,4,150,Oxytetracycline,Tetracycline,670,1,1,0.558,0.01,1,2025-05-01
274,25,965,Enrofloxacin,Fluoroquinolone,720,6,10,0.0871,0.002,1,2025-01-24
275,1,11,Enrofloxacin,Fluoroquinolone,616,5,7,0.0706,0.002,1,2025-07-22
276,35,1375,Enrofloxacin,Fluoroquinolone,235,5,1,0.2539,0.002,1,2025-05-14
277,9,348,Sulfonamide,Sulfonamide,604,3,8,0.0477,0.1,0,2025-06-12
278,37,1455,Sulfonamide,Sulfonamide,543,2,5,0.067,0.1,0,2025-01-23
279,7,262,Gentamicin,Aminoglycoside,387,6,6,0.092,0.01,1,2025-05-25
280,47,1849,Enrofloxacin,Fluoroquinolone,727,7,5,0.1479,0.002,1,2025-08-12
281,46,1829,Penicillin,Beta-lactam,423,6,8,0.0668,0.005,1,2025-03-19
282,29,1139,Gentamicin,Aminoglycoside,154,2,3,0.0285,0.01,1,2025-04-04
283,2,74,Gentamicin,Aminoglycoside,366,2,8,0.0428,0.01,1,2025-09-11
284,3,84,Gentamicin,Aminoglycoside,465,6,9,0.0509,0.01,1,2025-09-10
285,6,231,Penicillin,Beta-lactam,226,3,2,0.0795,0.005,1,2025-05-26
286,10,370,Penicillin,Beta-lactam,620,7,5,0.1318,0.005,1,2025-12-06
287,30,1200,Penicillin,Beta-lactam,697,1,9,0.0981,0.005,1,2025-04-03
288,22,853,Oxytetracycline,Tetracycline,352,7,8,0.0518,0.01,1,2025-06-18
289,2,54,Enrofloxacin,Fluoroquinolone,797,6,2,0.3563,0.002,1,2025-10-30
290,48,1903,Oxytetracycline,Tetracycline,431,2,1,0.2504,0.01,1,2025-12-29
291,34,1351,Gentamicin,Aminoglycoside,564,6,5,0.1234,0.01,1,2025-01-03
292,17,675,Oxytetracycline,Tetracycline,771,5,8,0.0795,0.01,1,2025-10-19
293,7,265,Penicillin,Beta-lactam,149,7,5,0.0245,0.005,1,2025-01-29
294,39,1524,Oxytetracycline,Tetracycline,660,5,7,0.0559,0.01,1,2025-05-11
295,10,365,Penicillin,Beta-lactam,508,1,1,0.687,0.005,1,2025-03-25
296,20,796,Gentamicin,Aminoglycoside,391,6,3,0.0809,0.01,1,2025-09-09
297,42,1641,Gentamicin,Aminoglycoside,417,6,10,0.0263,0.01,1,2025-12-07
